course_name,city,state,street_address,zip_code,holes,course_type,final_acreage,acreage_source,longitude,latitude
Palmetto Golf Club Inc,Aiken,SC,275 Berrie Rd SW,29801-4803,18,Semi Private,,No Match Found,-81.725839,33.546125
Houndslake Country Club,Aiken,SC,901 Houndslake Dr,29803-5923,36,Semi Private,,No Match Found,-81.739541,33.523794
The Aiken Golf Club,Aiken,SC,555 Highland Park Dr SW,29801-3703,18,Public,135.05058621555983,OSM (Medium Reliability),-81.726734,33.558436
The Golf Club At Cedar Creek,Aiken,SC,2475 Club Dr,29803-8706,18,Public,368.15110523421293,OSM (Medium Reliability),-81.654149,33.452064
Stone Creek Cove Golf Course,Anderson,SC,101 Lakefront Dr,29626-6502,9,Public,,No Match Found,-82.807439,34.453171
Anderson Country Club,Anderson,SC,1607 W Market St,29624-1150,18,Public,,No Match Found,-82.675861,34.500599
Brookstone Meadows Golf Course,Anderson,SC,100 River Club Dr,29621-7648,18,Public,12.543928609864464,OSM (Medium Reliability),-82.621114,34.622971
Cobb's Glen Country Club,Anderson,SC,2201 Cobbs Way,29621-4205,18,Public,65.50063641619397,OSM (Medium Reliability),-82.600423,34.540939
Pine Lakes Golf Club,Anderson,SC,410 Carpenter Rd,29621-4916,18,Public,143.36266386475216,OSM (Medium Reliability),-82.57833,34.459586
Cherry Hill Country Club,Andrews,SC,275 Cherry Hill Loop,29510-6039,18,Private,74.86832938682362,OSM (Medium Reliability),-79.587231,33.436707
Bulls Bay Golf Club,Awendaw,SC,995 Bulls Bay Blvd,29429-6191,18,Semi Private,,No Match Found,-79.719052,32.905911
Pawpaw Country Club,Bamberg,SC,128 Paw Paw Rd,29003-2207,18,Public,,No Match Found,-81.014251,33.268189
Sweetwater Country Club,Barnwell,SC,571 Club House Ln,29812-6427,18,Public,,No Match Found,-81.418273,33.236881
Indian Trail Golf Course,Batesburg,SC,1304 Willis St,29006-9116,18,Public,270.75401972886715,OSM (Medium Reliability),-81.538442,33.86206
Ponderosa Country Club,Batesburg/Leesville,SC,190 Durango Dr,29070-9000,18,Private,226.11732662646648,OSM (Medium Reliability),-81.540841,33.939894
Country Club of Beaufort,Beaufort,SC,8 Barnwell Dr,29907-1171,18,Private,,No Match Found,-80.679971,32.473067
Secession Golf Club,Beaufort,SC,142 Secession Dr,29907-1791,18,Private,2.7121839277998445,OSM (Medium Reliability),-80.659171,32.391015
Gifford Golf,Beaufort,SC,30 Grober Hill Rd,29906-6268,9,Public,,No Match Found,-80.741893,32.398565
Lady's Island Country Club,Beaufort,SC,139 Francis Marion Cir,29907-1951,36,Public,0.2246248409131748,OSM (Medium Reliability),-80.638629,32.469115
The Sanctuary Golf Club At Cat Island,Beaufort,SC,8 Waveland Ave,29907-1735,18,Public,,No Match Found,-80.650714,32.366882
Marlboro Country Club,Bennettsville,SC,404 Bennettsville Rd,29512-2654,18,Public,119.41163317747544,OSM (Medium Reliability),-79.693219,34.631735
Bethune Country Club,Bethune,SC,2844 Mecklenburg Rd,29009-9686,18,Public,,No Match Found,-80.336655,34.412825
Bishopville Country Club,Bishopville,SC,255 Country Club Rd,29010-8925,18,Public,,No Match Found,-80.295031,34.168251
Hampton Hall Club,Bluffton,SC,170 Hampton Hall Blvd,29910-7824,18,Private,,No Match Found,-80.919273,32.243451
Berkeley Hall Golf Club,Bluffton,SC,366 Good Hope Rd,29909-3107,36,Private,,No Match Found,-80.905975,32.30187
