OBJECTID,ZONE_,SECTION_,PLAT,ZSP,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,Shape__Area,Shape__Length
2813,2,9,046,29046,,,GIS_EDITOR,9/10/2020 11:32:25 PM,d886bcec-a742-4794-a0f4-e0f1682856a0,804240.000160217,5068.09465147257
2814,2,9,047,29047,,,GIS_EDITOR,10/7/2020 11:53:58 PM,2faef2fb-f553-4b49-a0f5-3bf2a45eaca1,824091.266563416,5039.86354981478
2815,8,4,009,84009,,,GIS_EDITOR,7/15/2020 12:10:01 AM,41ff6bc6-c3e7-431d-8e0a-9c086ce0e851,891707.386703491,3941.14806729752
2816,4,3,059,43059,,,GIS_EDITOR,5/29/2020 11:39:20 PM,4f4a93b9-0be7-423a-bdfe-fd4cfab23303,632656.808029175,3690.28588442013
2817,1,1,037,11037,,,GIS_EDITOR,11/21/2020 1:38:57 AM,31557a2f-1ef0-4260-94c4-187dcc2d51bf,1188065.74946594,5224.82849300021
2818,8,7,009,87009,,,GIS_EDITOR,12/1/2020 5:21:11 PM,a555171c-d2b0-4520-a089-a06860902c80,34364541.3831787,31876.5612826195
2819,9,8,038,98038,,,GIS_EDITOR,12/1/2020 6:20:58 PM,7908b42a-1285-419e-b82b-23d3f49c8d95,317994.696990967,3706.68077218133
2820,9,4,166,94166,,,GIS_EDITOR,12/1/2020 5:47:48 PM,90a8b542-5527-4c26-929b-0d1e386b7eae,979458.162841797,4455.41270243734
2821,9,1,055,91055,,,GIS_EDITOR,7/6/2020 10:16:22 PM,733ca9f2-ff6c-4b8f-aab6-de1021bdf55c,704280.452629089,4385.24589021614
2822,9,8,002,98002,,,GIS_EDITOR,3/17/2021 6:44:48 PM,a10892da-0544-4667-90dc-3ef53dbea70e,375298.718780518,15367.6751091878
2823,9,1,122,91122,rpa,3/7/2014 3:08:05 PM,GIS_EDITOR,7/6/2020 10:16:22 PM,34ab2268-661a-4a88-8505-ea5c5211ec3b,1868195.16443634,5806.14315752697
2824,9,7,025,97025,,,GIS_EDITOR,3/17/2021 6:44:48 PM,326a35e5-e949-47b0-a4a3-0f4657118b6c,45504398.4859924,63283.5883581032
2825,9,8,073,98073,,,GIS_EDITOR,3/17/2021 6:44:48 PM,ab608efc-bc9f-45fe-bc7c-e7fccfae618a,45858742.5927048,85099.108885122
2826,9,8,060,98060,,,GIS_EDITOR,3/17/2021 6:44:48 PM,493950dc-5019-4483-91e4-a8948120f5f4,8394064.92433929,24508.318806179
2827,2,6,022,26022,,,GIS_EDITOR,4/19/2021 7:30:32 PM,25c0e07c-8a22-429f-a933-170fd45b2bda,909163.815078735,3864.68088415865
2828,3,2,038,32038,,,GIS_EDITOR,11/24/2020 10:08:00 PM,a06eac99-0875-4a8a-88a3-fde4498913c5,661473.435035706,3353.21523156349
2829,3,2,057,32057,,,GIS_EDITOR,11/24/2020 10:41:15 PM,1694a52b-377e-49f3-b255-7ed1b234df40,682014.15568161,3401.41587023313
2830,9,8,052,98052,,,GIS_EDITOR,3/17/2021 6:48:41 PM,48b7814b-1748-4fb9-bd71-ddaa93b12fee,98203.7402648926,6857.87822957757
2831,4,3,010,43010,,,GIS_EDITOR,1/29/2021 7:14:29 PM,b6b3d6c7-ffa5-4c67-b5ff-1d6a4f72bff2,1104575.5216217,4499.25107550995
2832,7,6,001,76001,,,GIS_EDITOR,2/18/2021 7:21:26 PM,757a0e85-022c-4eec-9f96-18f0aec68cbf,223574482.693771,101906.904099009
2833,9,8,002,98002,GIS_EDITOR,3/17/2021 6:44:25 PM,GIS_EDITOR,3/17/2021 6:48:41 PM,0e32b2de-d8be-47a2-8080-12c05c959cce,8614793.07943726,35296.6587607383
2834,4,9,006,49006,,,GIS_EDITOR,2/18/2021 7:21:26 PM,16761e2d-3312-4cd5-80df-2da51e0e9b8f,31489256.8923035,42718.9790618557
